category,product_rating
Beauty & Hygiene,0.7336575497531713
"Kitchen, Garden & Pets",0.7146451057347107
Gourmet & World Food,0.663964947480654
Baby Care,0.5862108534740118
Cleaning & Household,0.4318222640205578
Beverages,0.3802137179196008
Snacks & Branded Foods,0.3061716768310906
"Bakery, Cakes & Dairy",0.25490610562550947
"Foodgrains, Oil & Masala",0.19763963221827513
